FIP5,TITLE,GEOGRAPHY
01117,"Birmingham-Hoover-Talladega, AL",CSA
38015,Burleigh County,County
38015,"Bismarck, ND",CBSA
38059,Morton County,County
38059,"Bismarck, ND",CBSA
38065,Oliver County,County
38065,"Bismarck, ND",CBSA
16011,Bingham County,County
16011,"Blackfoot, ID",CBSA
16011,"Idaho Falls-Rexburg-Blackfoot, ID",CSA
51071,Giles County,County
51071,"Blacksburg-Christiansburg, VA",CBSA
51121,Montgomery County,County
51121,"Blacksburg-Christiansburg, VA",CBSA
51155,Pulaski County,County
51155,"Blacksburg-Christiansburg, VA",CBSA
51750,Radford city,County
51750,"Blacksburg-Christiansburg, VA",CBSA
17113,McLean County,County
17113,"Bloomington, IL",CBSA
17113,"Bloomington-Pontiac, IL",CSA
18105,Monroe County,County
18105,"Bloomington, IN",CBSA
18105,"Bloomington-Bedford, IN",CSA
18119,Owen County,County
18119,"Bloomington, IN",CBSA
18119,"Bloomington-Bedford, IN",CSA
42037,Columbia County,County
42037,"Bloomsburg-Berwick, PA",CBSA
42037,"Bloomsburg-Berwick-Sunbury, PA",CSA
42093,Montour County,County
42093,"Bloomsburg-Berwick, PA",CBSA
42093,"Bloomsburg-Berwick-Sunbury, PA",CSA
51021,Bland County,County
51021,"Bluefield, WV-VA",CBSA
51185,Tazewell County,County
51185,"Bluefield, WV-VA",CBSA
54055,Mercer County,County
54055,"Bluefield, WV-VA",CBSA
05093,Mississippi County,County
05093,"Blytheville, AR",CBSA
22117,Washington Parish,County
22117,"Bogalusa, LA",CBSA
22117,"New Orleans-Metairie-Hammond, LA-MS",CSA
16001,Ada County,County
16001,"Boise City, ID",CBSA
16001,"Boise City-Mountain Home-Ontario, ID-OR",CSA
16015,Boise County,County
16015,"Boise City, ID",CBSA
16015,"Boise City-Mountain Home-Ontario, ID-OR",CSA
16027,Canyon County,County
16027,"Boise City, ID",CBSA
16027,"Boise City-Mountain Home-Ontario, ID-OR",CSA
16045,Gem County,County
16045,"Boise City, ID",CBSA
16045,"Boise City-Mountain Home-Ontario, ID-OR",CSA
16073,Owyhee County,County
16073,"Boise City, ID",CBSA
16073,"Boise City-Mountain Home-Ontario, ID-OR",CSA
48147,Fannin County,County
48147,"Bonham, TX",CBSA
48147,"Dallas-Fort Worth, TX-OK",CSA
37189,Watauga County,County
37189,"Boone, NC",CBSA
48233,Hutchinson County,County
48233,"Borger, TX",CBSA
48233,"Amarillo-Pampa-Borger, TX",CSA
25021,Norfolk County,County
25021,"Boston-Cambridge-Newton, MA-NH",CBSA
25021,"Boston-Worcester-Providence, MA-RI-NH-CT",CSA
25021,"Boston, MA",MSA
25023,Plymouth County,County
25023,"Boston-Cambridge-Newton, MA-NH",CBSA
25023,"Boston-Worcester-Providence, MA-RI-NH-CT",CSA
25023,"Boston, MA",MSA
25025,Suffolk County,County
25025,"Boston-Cambridge-Newton, MA-NH",CBSA
25025,"Boston-Worcester-Providence, MA-RI-NH-CT",CSA
25025,"Boston, MA",MSA
25009,Essex County,County
25009,"Boston-Cambridge-Newton, MA-NH",CBSA
25009,"Boston-Worcester-Providence, MA-RI-NH-CT",CSA
25009,"Cambridge-Newton-Framingham, MA",MSA
25017,Middlesex County,County
25017,"Boston-Cambridge-Newton, MA-NH",CBSA
25017,"Boston-Worcester-Providence, MA-RI-NH-CT",CSA
25017,"Cambridge-Newton-Framingham, MA",MSA
33015,Rockingham County,County
33015,"Boston-Cambridge-Newton, MA-NH",CBSA
33015,"Boston-Worcester-Providence, MA-RI-NH-CT",CSA
33015,"Rockingham County-Strafford County, NH",MSA
33017,Strafford County,County
33017,"Boston-Cambridge-Newton, MA-NH",CBSA
33017,"Boston-Worcester-Providence, MA-RI-NH-CT",CSA
33017,"Rockingham County-Strafford County, NH",MSA
08013,Boulder County,County
08013,"Boulder, CO",CBSA
08013,"Denver-Aurora, CO",CSA
21003,Allen County,County
21003,"Bowling Green, KY",CBSA
21003,"Bowling Green-Glasgow, KY",CSA
21031,Butler County,County
21031,"Bowling Green, KY",CBSA
21031,"Bowling Green-Glasgow, KY",CSA
21061,Edmonson County,County
21061,"Bowling Green, KY",CBSA
21061,"Bowling Green-Glasgow, KY",CSA
21227,Warren County,County
21227,"Bowling Green, KY",CBSA
21227,"Bowling Green-Glasgow, KY",CSA
30031,Gallatin County,County
30031,"Bozeman, MT",CBSA
42083,McKean County,County
42083,"Bradford, PA",CBSA
27021,Cass County,County
27021,"Brainerd, MN",CBSA
27035,Crow Wing County,County
27035,"Brainerd, MN",CBSA
29213,Taney County,County
29213,"Branson, MO",CBSA
08117,Summit County,County
08117,"Breckenridge, CO",CBSA
53035,Kitsap County,County
53035,"Bremerton-Silverdale-Port Orchard, WA",CBSA
53035,"Seattle-Tacoma, WA",CSA
48477,Washington County,County
48477,"Brenham, TX",CBSA
48477,"Houston-The Woodlands, TX",CSA
37175,Transylvania County,County
37175,"Brevard, NC",CBSA
37175,"Asheville-Marion-Brevard, NC",CSA
09001,Fairfield County,County
09001,"Bridgeport-Stamford-Norwalk, CT",CBSA
09001,"New York-Newark, NY-NJ-CT-PA",CSA
28085,Lincoln County,County
28085,"Brookhaven, MS",CBSA
28085,"Jackson-Vicksburg-Brookhaven, MS",CSA
41015,Curry County,County
41015,"Brookings, OR",CBSA
46011,Brookings County,County
46011,"Brookings, SD",CBSA
47075,Haywood County,County
47075,"Brownsville, TN",CBSA
47075,"Jackson-Brownsville, TN",CSA
48061,Cameron County,County
48061,"Brownsville-Harlingen, TX",CBSA
48061,"Brownsville-Harlingen-Raymondville, TX",CSA
48049,Brown County,County
48049,"Brownwood, TX",CBSA
13025,Brantley County,County
13025,"Brunswick, GA",CBSA
13127,Glynn County,County
13127,"Brunswick, GA",CBSA
13191,McIntosh County,County
13191,"Brunswick, GA",CBSA
39033,Crawford County,County
39033,"Bucyrus-Galion, OH",CBSA
39033,"Mansfield-Ashland-Bucyrus, OH",CSA
36029,Erie County,County
36029,"Buffalo-Cheektowaga, NY",CBSA
36029,"Buffalo-Cheektowaga-Olean, NY",CSA
36063,Niagara County,County
36063,"Buffalo-Cheektowaga, NY",CBSA
36063,"Buffalo-Cheektowaga-Olean, NY",CSA
16031,Cassia County,County
16031,"Burley, ID",CBSA
16067,Minidoka County,County
16067,"Burley, ID",CBSA
17071,Henderson County,County
17071,"Burlington, IA-IL",CBSA
17071,"Burlington-Fort Madison-Keokuk, IA-IL-MO",CSA
19057,Des Moines County,County
19057,"Burlington, IA-IL",CBSA
19057,"Burlington-Fort Madison-Keokuk, IA-IL-MO",CSA
37001,Alamance County,County
37001,"Burlington, NC",CBSA
37001,"Greensboro--Winston-Salem--High Point, NC",CSA
50007,Chittenden County,County
50007,"Burlington-South Burlington, VT",CBSA
50007,"Burlington-South Burlington-Barre, VT",CSA
50011,Franklin County,County
50011,"Burlington-South Burlington, VT",CBSA
50011,"Burlington-South Burlington-Barre, VT",CSA
50013,Grand Isle County,County
50013,"Burlington-South Burlington, VT",CBSA
50013,"Burlington-South Burlington-Barre, VT",CSA
30093,Silver Bow County,County
30093,"Butte-Silver Bow, MT",CBSA
26113,Missaukee County,County
26113,"Cadillac, MI",CBSA
26165,Wexford County,County
26165,"Cadillac, MI",CBSA
13129,Gordon County,County
